method,sigma,minCl,minSpl,Temporal Purity,Davies-Bouldin Index,Calinskiâ€“Harabasz Index,Intercluster Distance,Intracluster Distance,Density Based Clustering Validation Index,Intracluster Variance,Number of Transitions,Silhouette Coefficient,Average Segment Length,model_name,dataset_name,Noise Percentage,accuracy,nmi,ari,Dataset,Model,Sigma
HDBSCAN,200,377,1,1.0,1.218553323274452,5647.530870071852,0.0060821795,0.38940334,0.6262478135270912,0.013366512,3,0.30963376,846.5,CendoFM,ncm_12,0.1568222090962787,0.7061295971978985,0.5193924055520968,0.380940053890397,ncm_12,CendoFM,Sigma200
HDBSCAN,200,13,1,1.0,0.4483666301476495,4992.6260722634925,0.017455721,0.08092273,0.6654093508455468,0.0005574627,3,0.57924694,304.75,CendoFM,ncm_8,0.0976210008203445,0.9490909090909092,0.8262011932868558,0.8489153815350631,ncm_8,CendoFM,Sigma200
HDBSCAN,200,13,1,1.0,1.831915681334377,4508.6887174463445,0.007632164,0.42578676,0.5084961249190888,0.01779862,10,0.15588486,392.7272727272728,CendoFM,ncm_6,0.1611111111111111,0.7182671081677704,0.8029547637193127,0.6679208272214109,ncm_6,CendoFM,Sigma200
HDBSCAN,200,13,1,1.0,1.5331040133120797,6072.305208400723,0.10681403,0.27631706,0.7188224607166727,0.009240387,7,0.49451366,355.125,CendoFM,ncm_1,0.1654347060894051,0.6010122311261071,0.680474492631168,0.4126300983565472,ncm_1,CendoFM,Sigma200
HDBSCAN,200,377,1,1.0,0.4492308063801221,5909.098424826486,0.0010316133,0.23177081,0.6638103012877089,0.0041861073,1,0.5968858,1384.5,CendoFM,ncm_7,0.0,0.5312387143373059,0.2373860150971133,0.0047270238159178,ncm_7,CendoFM,Sigma200
HDBSCAN,200,233,1,1.0,0.9044716447373546,4427.056679454341,0.0054462566,0.185493,0.6370115831518713,0.0033894677,3,0.37042305,634.25,CendoFM,ncm_9,0.0934174221521482,0.5826086956521739,0.5831828200967435,0.3444234814330781,ncm_9,CendoFM,Sigma200
HDBSCAN,200,144,1,1.0,1.848830065695044,4660.570706352251,0.01065585,0.16827416,0.6902343897493793,0.0032819957,3,0.20908405,562.25,CendoFM,ncm_rmv_1,0.0631391729657625,0.8319886093972473,0.8346075804361229,0.7695467272793374,ncm_rmv_1,CendoFM,Sigma200
HDBSCAN,200,13,1,1.0,1.0599858567306302,3709.946119051294,0.00034505688,0.07616812,0.5119353181226316,0.00055832515,7,0.38593382,409.125,CendoFM,ncm_11,0.2294531011304613,0.5800951625693894,0.6636259836867326,0.4991281511849891,ncm_11,CendoFM,Sigma200
HDBSCAN,200,233,1,1.0,0.5245285601859908,3706.1330731110215,0.0005357564,0.13491943,0.663973450479841,0.0021958924,1,0.60536593,893.0,CendoFM,ncm_10,0.0,0.6797312430011199,0.5569544336832892,0.4365699684973279,ncm_10,CendoFM,Sigma200
HDBSCAN,200,233,1,1.0,1.5359554702787983,4103.900826409253,0.006107046,0.23330116,0.5720617665571155,0.005362625,7,0.28995624,532.75,CendoFM,ncm_2,0.182778038479587,0.895205282802182,0.894446697365963,0.8591739255580052,ncm_2,CendoFM,Sigma200
HDBSCAN,200,34,1,1.0,1.1114899895983077,4706.086985552394,0.05803587,0.15891944,0.5329339992686145,0.0031028993,6,0.31529018,481.7142857142857,CendoFM,ncm_5,0.1966192170818504,0.58656330749354,0.6397670638367869,0.4431983857752928,ncm_5,CendoFM,Sigma200
HDBSCAN,200,13,1,1.0,0.4555709625979197,10950.362696061058,0.064013846,0.25225118,0.7846837142376157,0.005131315,3,0.6536193,547.5,CendoFM,ncm_4,0.0799086757990867,0.8610421836228288,0.7827457215981977,0.8306993268225321,ncm_4,CendoFM,Sigma200
HDBSCAN,200,13,1,1.0,0.7639663822705636,9811.99372263122,0.056684557,0.12213558,0.7132284629582633,0.0014893721,3,0.6168725,595.75,CendoFM,ncm_3,0.097775912715065,0.812093023255814,0.6307525445860056,0.5563302618457183,ncm_3,CendoFM,Sigma200
HDBSCAN,200,610,1,1.0,0.9250170927535326,9279.533912758554,0.025591388,0.28732198,0.6763413443927514,0.008533066,5,0.38338986,989.3333333333334,CendoFM,ncm_rmv_2,0.1470687331536387,0.7527157811574166,0.759537676787698,0.5705869497217827,ncm_rmv_2,CendoFM,Sigma200
HDBSCAN,200,13,1,1.0,1.3434115473286097,3119.2686890012064,0.0105741415,0.26164535,0.5876545320896531,0.010340639,13,0.10494846,363.7857142857143,CendoFM,ncm_rmv_4,0.2509326526605144,0.6442988204456095,0.715508535212972,0.4908504671254985,ncm_rmv_4,CendoFM,Sigma200
HDBSCAN,200,377,1,1.0,0.5030829579698805,9676.110595311668,0.00087843527,0.27881438,0.6637549281631933,0.007582018,1,0.6923667,1481.5,CendoFM,ncm_rmv_3,0.0,0.4930813364832939,0.4137547816204941,0.2534608131689548,ncm_rmv_3,CendoFM,Sigma200
